id,type,ans_count,cr_time,score,poster_rep
535,2,,2011-11-23T22:38:08.563,1,153
536,1,7,2011-11-23T22:51:27.137,8,6139
539,1,7,2011-11-24T06:50:17.903,12,4513
540,1,3,2011-11-24T08:03:49.747,9,7198
541,1,4,2011-11-24T08:10:16.710,7,7198
542,1,3,2011-11-24T08:18:58.860,7,7198
543,2,,2011-11-24T08:25:21.530,6,5941
544,2,,2011-11-24T09:26:52.943,6,211
545,2,,2011-11-24T10:24:11.357,8,406
546,2,,2011-11-24T10:38:38.567,2,406
547,2,,2011-11-24T11:56:14.250,9,4513
548,2,,2011-11-24T13:12:04.580,3,161
549,2,,2011-11-24T13:41:11.377,2,4513
550,2,,2011-11-24T13:44:31.160,3,161
551,2,,2011-11-24T13:45:09.757,2,351
553,2,,2011-11-24T14:09:00.753,4,4513
554,2,,2011-11-24T14:27:11.330,10,797
555,1,6,2011-11-24T14:36:52.083,14,351
556,2,,2011-11-24T14:43:47.477,1,1212
557,2,,2011-11-24T14:51:47.500,5,1562
558,1,2,2011-11-24T16:53:04.657,8,5951
559,1,6,2011-11-24T17:09:37.773,18,5951
560,2,,2011-11-24T17:17:38.797,6,2313
561,2,,2011-11-24T17:20:56.607,2,1556
562,2,,2011-11-24T17:23:19.787,24,5070
563,2,,2011-11-24T17:38:36.770,2,1556
564,1,2,2011-11-24T18:04:25.050,9,5951
565,2,,2011-11-24T18:23:12.880,11,4378
566,1,1,2011-11-24T19:38:32.850,7,6139
567,1,2,2011-11-24T19:40:32.657,10,156
569,2,,2011-11-24T19:48:40.637,8,2762
570,1,0,2011-11-24T19:50:51.793,1,156
571,2,,2011-11-24T20:56:21.373,5,1006
572,2,,2011-11-24T21:09:35.257,7,770
573,2,,2011-11-24T21:15:55.967,3,1562
574,2,,2011-11-24T21:38:15.100,1,406
575,2,,2011-11-24T22:44:30.280,0,815
576,2,,2011-11-24T23:18:36.140,6,176
577,2,,2011-11-25T01:25:19.563,8,1556
578,1,6,2011-11-25T02:39:51.600,5,885
579,1,5,2011-11-25T05:25:07.507,4,7198
580,1,3,2011-11-25T05:46:18.183,3,7198
581,1,3,2011-11-25T05:51:56.003,5,7198
