CreationVote,CreationPost,VoteType,PostId
2011-11-15T00:00:00.000,2011-11-15T21:07:56.910,2,22
2011-11-15T00:00:00.000,2011-11-15T21:07:56.910,2,22
2011-11-16T00:00:00.000,2011-11-15T21:07:56.910,2,22
2011-11-16T00:00:00.000,2011-11-15T21:07:56.910,2,22
2011-11-16T00:00:00.000,2011-11-15T21:07:56.910,2,22
2011-11-16T00:00:00.000,2011-11-15T21:07:56.910,2,22
2011-11-20T00:00:00.000,2011-11-15T21:07:56.910,2,22
2011-12-06T00:00:00.000,2011-11-15T21:07:56.910,2,22
2011-12-07T00:00:00.000,2011-11-15T21:07:56.910,2,22
2011-12-12T00:00:00.000,2011-11-15T21:07:56.910,2,22
2012-02-17T00:00:00.000,2011-11-15T21:07:56.910,2,22
2012-03-16T00:00:00.000,2011-11-15T21:07:56.910,2,22
2012-03-22T00:00:00.000,2011-11-15T21:07:56.910,2,22
2012-04-25T00:00:00.000,2011-11-15T21:07:56.910,2,22
2012-04-25T00:00:00.000,2011-11-15T21:07:56.910,2,22
2013-02-01T00:00:00.000,2011-11-15T21:07:56.910,2,22
2014-01-04T00:00:00.000,2011-11-15T21:07:56.910,2,22
2015-07-17T00:00:00.000,2011-11-15T21:07:56.910,2,22
2015-07-17T00:00:00.000,2011-11-15T21:07:56.910,2,22
2015-08-17T00:00:00.000,2011-11-15T21:07:56.910,2,22
2015-08-17T00:00:00.000,2011-11-15T21:07:56.910,2,22
2015-08-18T00:00:00.000,2011-11-15T21:07:56.910,2,22
2015-08-20T00:00:00.000,2011-11-15T21:07:56.910,2,22
2015-09-13T00:00:00.000,2011-11-15T21:07:56.910,2,22
2015-09-27T00:00:00.000,2011-11-15T21:07:56.910,2,22
2015-10-02T00:00:00.000,2011-11-15T21:07:56.910,2,22
2015-11-05T00:00:00.000,2011-11-15T21:07:56.910,2,22
2011-11-15T00:00:00.000,2011-11-15T21:10:34.877,2,25
2011-11-15T00:00:00.000,2011-11-15T21:10:34.877,2,25
2011-11-15T00:00:00.000,2011-11-15T21:10:34.877,2,25
2011-11-15T00:00:00.000,2011-11-15T21:10:34.877,2,25
2011-11-16T00:00:00.000,2011-11-15T21:10:34.877,2,25
2011-11-16T00:00:00.000,2011-11-15T21:10:34.877,2,25
2011-11-16T00:00:00.000,2011-11-15T21:10:34.877,3,25
2011-11-20T00:00:00.000,2011-11-15T21:10:34.877,2,25
2012-01-30T00:00:00.000,2011-11-15T21:10:34.877,2,25
2012-04-24T00:00:00.000,2011-11-15T21:10:34.877,2,25
2013-05-15T00:00:00.000,2011-11-15T21:10:34.877,2,25
2013-12-23T00:00:00.000,2011-11-15T21:10:34.877,2,25
2014-01-31T00:00:00.000,2011-11-15T21:10:34.877,2,25
2014-03-30T00:00:00.000,2011-11-15T21:10:34.877,2,25
2014-03-30T00:00:00.000,2011-11-15T21:10:34.877,2,25
2014-03-30T00:00:00.000,2011-11-15T21:10:34.877,2,25
2014-10-22T00:00:00.000,2011-11-15T21:10:34.877,2,25
2014-12-26T00:00:00.000,2011-11-15T21:10:34.877,2,25
2015-03-15T00:00:00.000,2011-11-15T21:10:34.877,2,25
2015-07-19T00:00:00.000,2011-11-15T21:10:34.877,2,25
2011-11-15T00:00:00.000,2011-11-15T21:13:20.933,2,26
2011-11-15T00:00:00.000,2011-11-15T21:13:20.933,2,26
2011-11-16T00:00:00.000,2011-11-15T21:13:20.933,2,26
2011-12-02T00:00:00.000,2011-11-15T21:13:20.933,2,26
2012-02-29T00:00:00.000,2011-11-15T21:13:20.933,2,26
2012-07-03T00:00:00.000,2011-11-15T21:13:20.933,2,26
