CommentCreation,AnsCreation,AnsId
2011-11-18T12:43:06.550,2011-11-17T16:51:17.390,311
2011-11-17T17:58:44.457,2011-11-17T17:31:20.013,314
2011-11-17T18:53:50.740,2011-11-17T17:31:20.013,314
2011-12-08T04:04:20.610,2011-11-17T18:16:37.490,317
2011-12-08T17:17:27.347,2011-11-17T18:16:37.490,317
2011-12-09T04:39:38.507,2011-11-17T18:16:37.490,317
2014-07-23T04:18:34.200,2011-11-17T18:16:37.490,317
2011-11-21T16:08:07.500,2011-11-17T18:41:19.913,318
2011-11-17T19:30:37.403,2011-11-17T19:08:37.420,320
2011-11-17T19:34:08.733,2011-11-17T19:08:37.420,320
2011-11-18T04:31:33.910,2011-11-17T19:08:37.420,320
2011-12-13T23:40:47.193,2011-11-17T19:08:37.420,320
2011-12-14T08:27:44.747,2011-11-17T19:08:37.420,320
2011-11-17T19:30:19.670,2011-11-17T19:20:45.837,321
2011-11-17T20:04:34.770,2011-11-17T19:20:45.837,321
2011-11-17T20:21:27.680,2011-11-17T19:20:45.837,321
2011-11-17T20:26:27.023,2011-11-17T19:20:45.837,321
2011-11-17T21:13:14.457,2011-11-17T19:20:45.837,321
2011-11-17T21:21:48.323,2011-11-17T19:20:45.837,321
2011-11-17T19:49:18.477,2011-11-17T19:42:08.890,325
2012-01-15T01:49:24.477,2011-11-17T19:56:31.810,329
2015-02-02T14:11:43.850,2011-11-17T21:24:43.910,335
2011-11-18T10:46:39.150,2011-11-17T21:24:44.490,336
2015-04-16T16:55:38.837,2011-11-17T21:24:44.490,336
2012-11-24T21:34:15.550,2011-11-17T22:07:30.143,337
2012-11-26T09:51:48.603,2011-11-17T22:07:30.143,337
2011-11-18T10:21:52.127,2011-11-18T00:07:46.843,343
2011-11-19T12:52:20.503,2011-11-18T00:07:46.843,343
2011-11-19T12:57:41.233,2011-11-18T00:07:46.843,343
2011-11-19T16:28:22.463,2011-11-18T00:07:46.843,343
2011-11-18T20:44:01.840,2011-11-18T00:13:53.773,344
2011-12-27T10:09:56.310,2011-11-18T00:13:53.773,344
2014-06-26T02:24:03.960,2011-11-18T00:13:53.773,344
2011-11-18T00:21:55.923,2011-11-18T00:18:37.653,345
2011-11-18T04:21:43.640,2011-11-18T01:49:57.533,347
2011-11-18T07:32:06.747,2011-11-18T01:49:57.533,347
2011-11-18T10:17:15.687,2011-11-18T01:49:57.533,347
2011-11-18T10:26:24.347,2011-11-18T01:49:57.533,347
2011-11-18T14:46:59.997,2011-11-18T01:49:57.533,347
2011-11-18T14:51:55.627,2011-11-18T01:49:57.533,347
2011-11-18T19:44:31.827,2011-11-18T01:49:57.533,347
2011-11-19T02:12:58.410,2011-11-18T01:49:57.533,347
2011-11-19T18:21:24.510,2011-11-18T01:49:57.533,347
2011-11-23T04:20:47.730,2011-11-18T01:49:57.533,347
2011-11-23T08:33:34.360,2011-11-18T01:49:57.533,347
2011-11-23T08:37:38.247,2011-11-18T01:49:57.533,347
2011-11-23T08:38:39.367,2011-11-18T01:49:57.533,347
2011-11-23T09:25:13.183,2011-11-18T01:49:57.533,347
2011-11-18T08:27:37.407,2011-11-18T04:43:41.433,350
2011-11-18T11:10:16.067,2011-11-18T11:00:31.953,355
2011-11-18T11:14:11.707,2011-11-18T11:00:31.953,355
2011-11-18T12:22:42.020,2011-11-18T11:48:19.933,357
2011-11-18T13:08:01.830,2011-11-18T11:48:19.933,357
2011-11-30T16:54:58.773,2011-11-18T11:48:19.933,357
2011-11-18T12:31:05.887,2011-11-18T12:21:54.753,358
2011-11-18T12:37:01.283,2011-11-18T12:21:54.753,358
2012-02-05T15:47:34.950,2011-11-18T12:21:54.753,358
2012-02-05T16:34:56.930,2011-11-18T12:21:54.753,358
2012-02-06T08:45:56.130,2011-11-18T12:21:54.753,358
2011-11-18T13:16:38.410,2011-11-18T13:07:53.970,361
2011-11-18T13:19:38.377,2011-11-18T13:07:53.970,361
2011-11-18T13:25:30.950,2011-11-18T13:07:53.970,361
2011-11-18T16:58:40.773,2011-11-18T13:07:53.970,361
2011-11-21T21:29:47.547,2011-11-18T13:07:53.970,361
2011-11-22T16:24:17.167,2011-11-18T13:07:53.970,361
2011-11-18T14:37:42.043,2011-11-18T14:23:35.777,363
2011-11-18T15:14:43.030,2011-11-18T14:23:35.777,363
2011-11-18T15:21:54.913,2011-11-18T14:23:35.777,363
2011-11-18T15:38:44.370,2011-11-18T14:23:35.777,363
2011-11-19T07:19:05.983,2011-11-18T14:23:35.777,363
2011-11-18T14:41:12.830,2011-11-18T14:39:58.087,365
2011-11-18T14:59:51.823,2011-11-18T14:39:58.087,365
2011-11-18T17:46:57.937,2011-11-18T14:54:17.110,366
2011-12-02T17:00:44.083,2011-11-18T14:54:17.110,366
2011-11-18T19:51:03.720,2011-11-18T19:38:10.287,371
2011-11-21T15:20:22.007,2011-11-18T19:38:10.287,371
2011-11-21T20:25:14.073,2011-11-18T19:38:10.287,371
2011-11-18T20:18:56.243,2011-11-18T19:41:52.150,372
2011-11-18T20:37:15.393,2011-11-18T19:41:52.150,372
2011-11-18T22:25:11.717,2011-11-18T22:16:55.477,376
2011-11-21T19:58:44.220,2011-11-19T03:52:58.737,382
2011-11-23T00:16:27.463,2011-11-19T03:52:58.737,382
2011-11-23T00:18:34.167,2011-11-19T03:52:58.737,382
2011-11-19T06:51:04.230,2011-11-19T06:50:16.057,384
2011-11-19T10:51:14.387,2011-11-19T09:31:55.497,386
2011-11-19T14:04:59.517,2011-11-19T09:31:55.497,386
2011-11-19T22:32:59.483,2011-11-19T09:31:55.497,386
2011-11-25T11:09:18.540,2011-11-19T09:31:55.497,386
2011-11-25T11:16:07.877,2011-11-19T09:31:55.497,386
2011-11-20T07:20:54.653,2011-11-19T10:46:41.267,389
2014-04-14T18:28:03.527,2011-11-19T10:46:41.267,389
2014-04-14T18:31:45.820,2011-11-19T10:46:41.267,389
2014-04-14T20:00:12.170,2011-11-19T10:46:41.267,389
2011-11-20T08:23:35.973,2011-11-19T14:15:02.973,392
2011-11-20T19:21:23.280,2011-11-19T14:15:02.973,392
2011-11-21T00:38:48.177,2011-11-19T14:18:24.777,393
2011-11-21T03:09:25.383,2011-11-19T14:18:24.777,393
2012-01-21T02:38:09.797,2011-11-19T14:18:24.777,393
2011-11-19T18:35:51.830,2011-11-19T18:33:42.413,398
2011-11-19T18:36:38.303,2011-11-19T18:33:42.413,398
2011-11-21T02:03:26.557,2011-11-19T18:33:42.413,398
2011-12-27T08:57:58.177,2011-11-19T18:33:42.413,398
2011-12-27T10:21:16.187,2011-11-19T18:33:42.413,398
2011-11-20T02:57:12.263,2011-11-19T19:11:08.327,400
2011-12-17T17:08:26.353,2011-11-19T19:11:08.327,400
2011-11-20T04:41:18.333,2011-11-19T19:55:01.890,401
2011-12-17T11:17:14.240,2011-11-20T01:14:01.290,404
2011-12-17T17:01:00.707,2011-11-20T01:14:01.290,404
2011-12-17T17:35:13.173,2011-11-20T01:14:01.290,404
2011-12-17T17:40:36.260,2011-11-20T01:14:01.290,404
