,AnsId,QuestionId,Ans_count,index,Votes,AnsRank,Age_vot,ReScore,Norm_Pos,Norm_Pos_2,Norm_DRank
215,15,3.0,8,34,0.0,7,521,-0.5,0.875,0.765625,-0.125
216,12,3.0,8,34,0.0,8,521,0.0,1.0,1.0,0.125
217,109,3.0,8,35,1.0,1,615,0.769230769231,0.125,0.015625,-0.375
218,9,3.0,8,35,1.0,2,615,0.875,0.25,0.0625,0.125
219,410,3.0,8,35,0.0,3,615,0.833333333333,0.375,0.140625,0.125
220,11,3.0,8,35,0.0,4,615,0.8,0.5,0.25,0.125
221,35,3.0,8,35,0.0,5,615,0.0,0.625,0.390625,0.0
222,143,3.0,8,35,0.0,6,615,0.0,0.75,0.5625,0.0
223,15,3.0,8,35,0.0,7,615,-0.5,0.875,0.765625,-0.125
224,12,3.0,8,35,0.0,8,615,0.0,1.0,1.0,0.125
225,109,3.0,8,36,1.0,1,739,0.785714285714,0.125,0.015625,-0.375
226,9,3.0,8,36,0.0,2,739,0.875,0.25,0.0625,0.125
227,410,3.0,8,36,0.0,3,739,0.833333333333,0.375,0.140625,0.125
228,11,3.0,8,36,0.0,4,739,0.8,0.5,0.25,0.125
229,35,3.0,8,36,0.0,5,739,0.0,0.625,0.390625,0.0
230,143,3.0,8,36,0.0,6,739,0.0,0.75,0.5625,0.0
231,15,3.0,8,36,0.0,7,739,-0.5,0.875,0.765625,-0.125
232,12,3.0,8,36,0.0,8,739,0.0,1.0,1.0,0.125
233,109,3.0,8,37,1.0,1,743,0.8,0.125,0.015625,-0.25
234,9,3.0,8,37,0.0,2,743,0.875,0.25,0.0625,0.125
235,410,3.0,8,37,0.0,3,743,0.833333333333,0.375,0.140625,0.125
236,11,3.0,8,37,0.0,4,743,0.8,0.5,0.25,0.0
237,35,3.0,8,37,0.0,5,743,0.0,0.625,0.390625,0.0
238,143,3.0,8,37,0.0,6,743,0.0,0.75,0.5625,0.0
239,15,3.0,8,37,0.0,7,743,-0.5,0.875,0.765625,-0.125
240,12,3.0,8,37,0.0,8,743,0.0,1.0,1.0,0.125
241,109,3.0,9,38,0.0,1,751,0.8,0.111111111111,0.0123456790123,-0.222222222222
242,9,3.0,9,38,0.0,2,751,0.875,0.222222222222,0.0493827160494,0.111111111111
243,410,3.0,9,38,0.0,3,751,0.833333333333,0.333333333333,0.111111111111,0.111111111111
244,11,3.0,9,38,0.0,4,751,0.8,0.444444444444,0.197530864198,0.0
245,35,3.0,9,38,0.0,5,751,0.0,0.555555555556,0.308641975309,0.0
246,148,3.0,9,38,1.0,6,751,0.0,0.666666666667,0.444444444444,0.0
247,143,3.0,9,38,0.0,7,751,0.0,0.777777777778,0.604938271605,0.0
248,15,3.0,9,38,0.0,8,751,-0.5,0.888888888889,0.79012345679,-0.111111111111
249,12,3.0,9,38,0.0,9,751,0.0,1.0,1.0,0.111111111111
250,109,3.0,9,39,1.0,1,752,0.8125,0.111111111111,0.0123456790123,-0.333333333333
