,index,AnsRank,Votes,Age_vot,ReScore,Norm_Pos,Norm_Pos_2,Norm_DRank
8967,3820,2,0.0,10,0.75,0.0,0.0,-0.5
8968,3820,3,2.0,10,0.0,0.0,0.0,-0.25
8969,3821,1,1.0,11,0.833333333333,0.0,0.0,-0.75
8970,3821,2,1.0,11,0.0,-0.25,0.0625,-0.5
8971,3821,3,0.0,11,0.75,0.25,0.0625,-0.25
8972,3822,1,1.0,197,0.875,0.0,0.0,-0.75
8973,3822,2,0.0,197,0.0,-0.25,0.0625,-0.5
8974,3822,3,0.0,197,0.75,0.25,0.0625,-0.25
8989,3837,1,0.0,1075,0.916666666667,0.0,0.0,-0.666666666667
8990,3837,2,0.0,1075,0.833333333333,0.0,0.0,-0.333333333333
8992,3839,1,2.0,5,0.0,0.0,0.0,-0.666666666667
8993,3839,2,3.0,5,0.0,0.0,0.0,-0.333333333333
8994,3840,1,1.0,6,0.0,0.0,0.0,-0.666666666667
8995,3840,2,1.0,6,0.0,0.0,0.0,-0.333333333333
8996,3841,1,0.0,7,0.0,0.0,0.0,-0.75
8997,3841,2,0.0,7,0.0,0.0,0.0,-0.5
8998,3841,3,1.0,7,0.0,0.0,0.0,-0.25
8999,3842,1,0.0,414,0.0,-0.25,0.0625,-0.75
9000,3842,2,1.0,414,0.666666666667,0.25,0.0625,-0.5
9001,3842,3,0.0,414,0.0,0.0,0.0,-0.25
9002,3843,1,0.0,591,0.0,-0.2,0.04,-0.8
9003,3843,2,0.0,591,0.666666666667,0.2,0.04,-0.6
9004,3843,3,1.0,591,0.0,0.0,0.0,-0.4
9005,3843,4,0.0,591,0.0,0.0,0.0,-0.2
9014,3852,1,0.0,111,0.571428571429,0.0,0.0,-0.666666666667
9015,3852,2,2.0,111,0.0,0.0,0.0,-0.333333333333
9016,3853,1,0.0,112,0.571428571429,0.0,0.0,-0.666666666667
9017,3853,2,1.0,112,0.0,0.0,0.0,-0.333333333333
9018,3854,1,1.0,127,0.625,-0.333333333333,0.111111111111,-0.666666666667
9019,3854,2,1.0,127,0.666666666667,0.333333333333,0.111111111111,-0.333333333333
9020,3855,1,0.0,261,0.625,-0.25,0.0625,-0.75
9021,3855,2,0.0,261,0.666666666667,0.25,0.0625,-0.5
9022,3855,3,1.0,261,0.0,0.0,0.0,-0.25
9023,3856,1,1.0,0,0.0,0.0,0.0,-0.75
9024,3856,2,2.0,0,0.0,0.0,0.0,-0.5
9025,3856,3,1.0,0,0.0,0.0,0.0,-0.25
9026,3857,1,1.0,1,0.0,0.0,0.0,-0.75
9027,3857,2,1.0,1,0.0,0.0,0.0,-0.5
9028,3857,3,1.0,1,0.0,0.0,0.0,-0.25
9029,3858,1,1.0,2,0.666666666667,-0.25,0.0625,-0.75
9030,3858,2,1.0,2,0.75,0.25,0.0625,-0.5
9031,3858,3,0.0,2,0.0,0.0,0.0,-0.25
9032,3859,1,1.0,3,0.8,0.0,0.0,-0.75
9033,3859,2,0.0,3,0.666666666667,0.0,0.0,-0.5
9034,3859,3,0.0,3,0.0,0.0,0.0,-0.25
9035,3860,1,1.0,20,0.833333333333,0.0,0.0,-0.75
9036,3860,2,0.0,20,0.666666666667,0.0,0.0,-0.5
9037,3860,3,0.0,20,0.0,0.0,0.0,-0.25
9038,3861,1,1.0,21,0.857142857143,0.0,0.0,-0.75
9039,3861,2,0.0,21,0.666666666667,0.0,0.0,-0.5
9040,3861,3,0.0,21,0.0,0.0,0.0,-0.25
9041,3862,1,1.0,24,0.75,-0.25,0.0625,-0.75
9042,3862,2,1.0,24,0.875,0.25,0.0625,-0.5
9043,3862,3,0.0,24,0.0,0.0,0.0,-0.25
9044,3863,1,1.0,527,0.888888888889,0.0,0.0,-0.75
9045,3863,2,0.0,527,0.75,0.0,0.0,-0.5
9046,3863,3,0.0,527,0.0,0.0,0.0,-0.25
9047,3864,1,1.0,923,0.9,0.0,0.0,-0.833333333333
9048,3864,2,0.0,923,0.75,0.0,0.0,-0.666666666667
9049,3864,3,0.0,923,0.0,0.0,0.0,-0.5
9050,3864,4,1.0,923,0.0,0.0,0.0,-0.333333333333
9051,3864,5,3.0,923,0.0,0.0,0.0,-0.166666666667
9052,3865,1,2.0,924,0.909090909091,0.0,0.0,-0.833333333333
9053,3865,2,0.0,924,0.75,0.0,0.0,-0.666666666667
9054,3865,3,0.0,924,0.0,0.0,0.0,-0.5
9055,3865,4,0.0,924,0.0,0.0,0.0,-0.333333333333
9056,3865,5,0.0,924,0.0,0.0,0.0,-0.166666666667
9057,3866,1,1.0,926,0.916666666667,0.0,0.0,-0.833333333333
9058,3866,2,0.0,926,0.75,0.0,0.0,-0.666666666667
9059,3866,3,0.0,926,0.0,0.0,0.0,-0.5
9060,3866,4,0.0,926,0.0,0.0,0.0,-0.333333333333
9061,3866,5,0.0,926,0.0,0.0,0.0,-0.166666666667
9062,3867,1,1.0,927,0.8,-0.166666666667,0.0277777777778,-0.833333333333
9063,3867,2,1.0,927,0.928571428571,0.166666666667,0.0277777777778,-0.666666666667
9064,3867,3,0.0,927,0.0,0.0,0.0,-0.5
9065,3867,4,0.0,927,0.0,0.0,0.0,-0.333333333333
