,QuestionId,Age
581,134.0,167
582,134.0,710
583,134.0,1395
584,134.0,1412
585,136.0,0
586,136.0,1
587,136.0,29
588,136.0,315
589,136.0,363
590,136.0,833
591,136.0,841
592,136.0,931
593,137.0,0
594,137.0,1
595,137.0,2
596,137.0,4
597,137.0,5
598,137.0,29
599,137.0,42
600,137.0,84
601,137.0,86
602,137.0,87
603,137.0,140
604,137.0,158
605,137.0,248
606,137.0,250
607,137.0,266
608,137.0,281
609,137.0,291
610,137.0,431
611,137.0,442
612,137.0,443
613,137.0,453
614,137.0,520
615,137.0,555
616,137.0,597
617,137.0,640
618,137.0,659
619,137.0,734
620,137.0,738
621,137.0,751
622,137.0,821
623,137.0,848
624,137.0,948
625,137.0,974
626,137.0,990
627,137.0,1011
628,137.0,1043
629,137.0,1124
630,137.0,1125
631,137.0,1127
632,137.0,1155
633,137.0,1190
634,137.0,1269
635,137.0,1374
636,137.0,1380
637,137.0,1421
638,137.0,1492
639,139.0,0
640,139.0,1
641,139.0,4
642,139.0,30
643,139.0,48
644,139.0,78
645,139.0,79
646,144.0,0
647,144.0,1
648,144.0,4
649,144.0,5
650,144.0,1232
651,149.0,0
652,149.0,1
653,149.0,2
654,149.0,73
655,149.0,226
656,150.0,0
657,150.0,1
658,150.0,5
659,150.0,176
660,150.0,177
661,150.0,437
662,150.0,438
663,150.0,1447
664,160.0,217
665,160.0,218
666,169.0,0
667,169.0,1
668,169.0,3
669,169.0,4
670,169.0,7
671,169.0,10
672,169.0,29
673,169.0,49
674,169.0,54
675,169.0,55
676,169.0,56
677,169.0,927
678,172.0,0
679,172.0,1
680,172.0,2
681,172.0,3
682,172.0,4
683,172.0,15
684,172.0,31
685,172.0,43
686,172.0,58
687,172.0,59
688,172.0,120
689,172.0,121
690,172.0,168
691,172.0,230
692,172.0,427
693,172.0,474
694,172.0,1468
695,172.0,1469
696,172.0,1470
697,172.0,1471
698,174.0,0
699,174.0,1
700,174.0,2
701,174.0,3
702,174.0,7
703,174.0,8
704,174.0,31
705,174.0,51
706,174.0,69
707,174.0,1015
708,192.0,0
709,192.0,1
710,192.0,2
711,192.0,4
712,192.0,29
713,192.0,69
714,196.0,0
715,196.0,1
716,196.0,2
717,196.0,31
718,200.0,0
719,202.0,0
720,202.0,1
721,202.0,58
722,202.0,596
723,206.0,0
