,QuestionId,Age_vot,AnsRank,Votes,ReScore,Norm_Pos,Norm_Pos_2,Norm_DRank
0,7.0,11,1,0.0,0.833333333333,0.25,0.0625,-0.25
1,7.0,11,1,0.0,0.833333333333,0.25,0.0625,-0.25
2,7.0,11,1,1.0,0.833333333333,0.25,0.0625,-0.25
0,7.0,12,1,1.0,0.857142857143,0.25,0.0625,0.0
0,7.0,45,1,1.0,0.875,0.25,0.0625,0.0
0,7.0,75,1,1.0,0.888888888889,0.25,0.0625,0.0
0,7.0,135,1,1.0,0.9,0.25,0.0625,0.0
0,7.0,140,1,1.0,0.5,0.25,0.0625,-0.5
0,7.0,158,1,1.0,0.909090909091,0.25,0.0625,0.0
0,7.0,336,1,1.0,0.916666666667,0.25,0.0625,0.0
0,7.0,338,1,0.0,0.916666666667,0.2,0.04,0.0
0,7.0,339,1,1.0,0.0,0.2,0.04,-0.8
0,7.0,342,1,0.0,0.0,0.166666666667,0.0277777777778,-0.666666666667
0,7.0,343,1,1.0,0.0,0.166666666667,0.0277777777778,-0.666666666667
0,7.0,344,1,1.0,0.5,0.166666666667,0.0277777777778,-0.333333333333
0,7.0,359,1,1.0,0.666666666667,0.166666666667,0.0277777777778,-0.333333333333
0,7.0,457,1,0.0,0.75,0.166666666667,0.0277777777778,-0.333333333333
1,7.0,457,1,1.0,0.75,0.166666666667,0.0277777777778,-0.333333333333
0,7.0,552,1,1.0,0.8,0.166666666667,0.0277777777778,-0.333333333333
0,7.0,808,1,0.0,0.833333333333,0.166666666667,0.0277777777778,-0.333333333333
1,7.0,808,1,1.0,0.833333333333,0.166666666667,0.0277777777778,-0.333333333333
0,7.0,851,1,0.0,0.857142857143,0.166666666667,0.0277777777778,-0.166666666667
1,7.0,851,1,1.0,0.857142857143,0.166666666667,0.0277777777778,-0.166666666667
0,7.0,1069,1,1.0,0.875,0.166666666667,0.0277777777778,-0.166666666667
0,7.0,1366,1,1.0,0.888888888889,0.166666666667,0.0277777777778,-0.166666666667
0,7.0,1371,1,0.0,0.888888888889,0.166666666667,0.0277777777778,-0.166666666667
0,7.0,1469,1,0.0,0.888888888889,0.142857142857,0.0204081632653,-0.142857142857
0,14.0,0,1,0.0,0.0,0.5,0.25,0.0
1,14.0,0,1,0.0,0.0,0.5,0.25,0.0
2,14.0,0,1,0.0,0.0,0.5,0.25,0.0
3,14.0,0,1,1.0,0.0,0.5,0.25,0.0
4,14.0,0,1,1.0,0.0,0.5,0.25,0.0
5,14.0,0,1,1.0,0.0,0.5,0.25,0.0
6,14.0,0,1,1.0,0.0,0.5,0.25,0.0
7,14.0,0,1,1.0,0.0,0.5,0.25,0.0
8,14.0,0,1,1.0,0.0,0.5,0.25,0.0
9,14.0,0,1,1.0,0.0,0.5,0.25,0.0
0,14.0,1,1,0.0,0.0,0.5,0.25,0.0
1,14.0,1,1,1.0,0.0,0.5,0.25,0.0
0,14.0,2,1,1.0,0.875,0.5,0.25,0.0
0,14.0,3,1,0.0,0.888888888889,0.5,0.25,0.0
1,14.0,3,1,1.0,0.888888888889,0.5,0.25,0.0
0,14.0,30,1,1.0,0.9,0.5,0.25,0.0
0,14.0,37,1,1.0,0.909090909091,0.5,0.25,0.0
0,14.0,43,1,1.0,0.916666666667,0.5,0.25,0.0
0,14.0,48,1,1.0,0.923076923077,0.5,0.25,0.0
0,14.0,50,1,1.0,0.928571428571,0.5,0.25,0.0
0,14.0,255,1,1.0,0.933333333333,0.5,0.25,0.0
0,14.0,325,1,1.0,0.9375,0.5,0.25,0.0
0,14.0,889,1,1.0,0.941176470588,0.5,0.25,0.0
0,14.0,1365,1,1.0,0.944444444444,0.5,0.25,0.0
0,14.0,1366,1,0.0,0.944444444444,0.333333333333,0.111111111111,0.0
0,14.0,1367,1,0.0,0.944444444444,0.333333333333,0.111111111111,0.0
0,14.0,1369,1,0.0,0.944444444444,0.333333333333,0.111111111111,0.0
0,18.0,0,1,0.0,0.0,0.5,0.25,0.0
1,18.0,0,1,0.0,0.0,0.5,0.25,0.0
2,18.0,0,1,0.0,0.0,0.5,0.25,0.0
3,18.0,0,1,1.0,0.0,0.5,0.25,0.0
4,18.0,0,1,1.0,0.0,0.5,0.25,0.0
0,18.0,1,1,0.0,0.0,0.5,0.25,0.0
1,18.0,1,1,1.0,0.0,0.5,0.25,0.0
0,18.0,2,1,1.0,0.75,0.5,0.25,0.0
0,18.0,4,1,0.0,0.0,0.333333333333,0.111111111111,-0.333333333333
0,18.0,5,1,1.0,0.8,0.333333333333,0.111111111111,0.0
0,18.0,8,1,1.0,0.833333333333,0.333333333333,0.111111111111,0.0
1,18.0,8,1,1.0,0.833333333333,0.333333333333,0.111111111111,0.0
2,18.0,8,1,1.0,0.833333333333,0.333333333333,0.111111111111,0.0
0,18.0,9,1,0.0,0.857142857143,0.333333333333,0.111111111111,0.0
1,18.0,9,1,1.0,0.857142857143,0.333333333333,0.111111111111,0.0
0,18.0,44,1,1.0,0.9,0.333333333333,0.111111111111,0.0
0,18.0,55,1,1.0,0.909090909091,0.333333333333,0.111111111111,0.0
0,18.0,62,1,0.0,0.909090909091,0.25,0.0625,0.0
0,18.0,63,1,0.0,0.916666666667,0.25,0.0625,0.0
1,18.0,63,1,1.0,0.916666666667,0.25,0.0625,0.0
0,18.0,140,1,0.0,0.916666666667,0.25,0.0625,0.0
0,18.0,158,1,0.0,0.916666666667,0.25,0.0625,0.0
0,18.0,159,1,1.0,0.923076923077,0.25,0.0625,0.0
0,18.0,167,1,1.0,0.928571428571,0.25,0.0625,0.0
0,18.0,254,1,0.0,0.928571428571,0.25,0.0625,0.0
0,18.0,259,1,0.0,0.928571428571,0.25,0.0625,0.0
0,18.0,262,1,0.0,0.928571428571,0.2,0.04,0.0
0,18.0,263,1,0.0,0.928571428571,0.2,0.04,0.0
0,18.0,266,1,1.0,0.933333333333,0.2,0.04,0.0
0,18.0,316,1,0.0,0.933333333333,0.2,0.04,0.0
0,18.0,443,1,1.0,0.9375,0.2,0.04,0.0
0,18.0,1334,1,1.0,0.941176470588,0.2,0.04,0.0
0,21.0,0,1,0.0,0.0,0.5,0.25,0.0
1,21.0,0,1,1.0,0.0,0.5,0.25,0.0
0,21.0,1,1,0.0,0.0,0.5,0.25,0.0
1,21.0,1,1,1.0,0.0,0.5,0.25,0.0
2,21.0,1,1,1.0,0.0,0.5,0.25,0.0
0,21.0,2,1,0.0,0.5,0.5,0.25,0.0
1,21.0,2,1,1.0,0.5,0.5,0.25,0.0
0,21.0,123,1,0.0,0.5,0.5,0.25,-0.5
0,21.0,194,1,0.0,0.5,0.333333333333,0.111111111111,-0.333333333333
0,21.0,323,1,0.0,0.5,0.25,0.0625,-0.25
0,21.0,324,1,0.0,0.5,0.25,0.0625,-0.25
0,21.0,328,1,0.0,0.5,0.2,0.04,-0.2
1,21.0,328,1,0.0,0.5,0.2,0.04,-0.2
0,21.0,329,1,0.0,0.75,0.2,0.04,0.0
1,21.0,329,1,0.0,0.75,0.2,0.04,0.0
2,21.0,329,1,1.0,0.75,0.2,0.04,0.0
0,21.0,336,1,1.0,0.4,0.2,0.04,-0.4
0,21.0,339,1,0.0,0.4,0.2,0.04,-0.6
0,21.0,363,1,0.0,0.4,0.2,0.04,-0.6
0,22.0,0,1,0.0,0.0,0.333333333333,0.111111111111,0.0
1,22.0,0,1,0.0,0.0,0.333333333333,0.111111111111,0.0
2,22.0,0,1,1.0,0.0,0.333333333333,0.111111111111,0.0
3,22.0,0,1,1.0,0.0,0.333333333333,0.111111111111,0.0
4,22.0,0,1,1.0,0.0,0.333333333333,0.111111111111,0.0
0,22.0,1,1,0.0,0.0,0.333333333333,0.111111111111,0.0
1,22.0,1,1,0.0,0.0,0.333333333333,0.111111111111,0.0
2,22.0,1,1,1.0,0.0,0.333333333333,0.111111111111,0.0
3,22.0,1,1,1.0,0.0,0.333333333333,0.111111111111,0.0
4,22.0,1,1,1.0,0.0,0.333333333333,0.111111111111,0.0
0,22.0,2,1,0.0,0.75,0.333333333333,0.111111111111,0.0
1,22.0,2,1,0.0,0.75,0.333333333333,0.111111111111,0.0
2,22.0,2,1,1.0,0.75,0.333333333333,0.111111111111,0.0
0,22.0,8,1,1.0,0.571428571429,0.333333333333,0.111111111111,0.0
0,22.0,16,1,0.0,0.625,0.333333333333,0.111111111111,-0.333333333333
1,22.0,16,1,1.0,0.625,0.333333333333,0.111111111111,-0.333333333333
0,22.0,19,1,0.0,0.625,0.333333333333,0.111111111111,-0.666666666667
1,22.0,19,1,0.0,0.625,0.333333333333,0.111111111111,-0.666666666667
0,22.0,23,1,0.0,0.625,0.333333333333,0.111111111111,-0.666666666667
